"","L-alanine","L-arginine","L-asparagine","L-cysteine","glycine","L-isoleucine","L-leucine","L-lysine","L-methionine","L-phenylalanine","L-serine","L-threonine","L-tryptophan","L-tyrosine","L-valine","L-aspartate","L-glutamate","L-glutamine"
"L-alanine",0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0
"L-arginine",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"L-asparagine",0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"L-cysteine",0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"glycine",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
"L-isoleucine",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"L-leucine",0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1
"L-lysine",0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
"L-methionine",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"L-phenylalanine",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"L-serine",0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1
"L-threonine",0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1
"L-tryptophan",0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1
"L-tyrosine",0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1
"L-valine",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
"L-aspartate",0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1
"L-glutamate",0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1
"L-glutamine",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
